Column Label,Maximum Axial Load,Length,Assigned Section,Axial Capacity,Weight of Column
Column 100(Kip),45.28,17,HSS5X5X4,56.9,265.53999999999996
Column 101(Kip),12.37,17,HSS4X4X4,28.1,207.57000000000002
Column 102(Kip),6.51,17,HSS4X4X4,28.1,207.57000000000002
Column 103(Kip),3.8,17,HSS4X4X4,28.1,207.57000000000002
Column 104(Kip),5.5,17,HSS4X4X4,28.1,207.57000000000002
Column 105(Kip),41.57,17,HSS5X5X4,56.9,265.53999999999996
Column 106(Kip),6.32,17,HSS4X4X4,28.1,207.57000000000002
Column 107(Kip),4.34,17,HSS4X4X4,28.1,207.57000000000002
Column 108(Kip),30.35,17,HSS5X5X4,56.9,265.53999999999996
Column 109(Kip),4.06,17,HSS4X4X4,28.1,207.57000000000002
Column 110(Kip),22.43,17,HSS4X4X4,28.1,207.57000000000002
Column 111(Kip),11.84,17,HSS4X4X4,28.1,207.57000000000002
Column 112(Kip),12.5,17,HSS4X4X4,28.1,207.57000000000002
Column 113(Kip),88.29,17,HSS6X6X4,90,323.34
Column 114(Kip),77.02,17,HSS6X6X4,90,323.34
Column 115(Kip),24.71,17,HSS4X4X4,28.1,207.57000000000002
Column 116(Kip),88.36,17,HSS6X6X4,90,323.34
Column 117(Kip),15.65,17,HSS4X4X4,28.1,207.57000000000002
Column 118(Kip),34.17,17,HSS5X5X4,56.9,265.53999999999996
Column 119(Kip),45.91,17,HSS5X5X4,56.9,265.53999999999996
Column 120(Kip),69.79,17,HSS6X6X4,90,323.34
Column 121(Kip),22.92,17,HSS4X4X4,28.1,207.57000000000002
Column 122(Kip),5.42,17,HSS4X4X4,28.1,207.57000000000002
Column 123(Kip),6.48,17,HSS4X4X4,28.1,207.57000000000002
Column 124(Kip),49.45,17,HSS5X5X4,56.9,265.53999999999996
Column 125(Kip),-3.41,17,HSS4X4X4,28.1,207.57000000000002
Column 126(Kip),63.04,17,HSS6X6X4,90,323.34
Column 127(Kip),52.22,17,HSS5X5X4,56.9,265.53999999999996
Column 128(Kip),2.56,17,HSS4X4X4,28.1,207.57000000000002
Column 129(Kip),14.8,17,HSS4X4X4,28.1,207.57000000000002
Column 130(Kip),13.57,17,HSS4X4X4,28.1,207.57000000000002
Column 131(Kip),6.97,17,HSS4X4X4,28.1,207.57000000000002
Column 132(Kip),-1.55,17,HSS4X4X4,28.1,207.57000000000002
Column 133(Kip),-9,17,HSS4X4X4,28.1,207.57000000000002
Column 134(Kip),-36.92,17,HSS4X4X4,28.1,207.57000000000002
Column 135(Kip),-50.25,17,HSS4X4X4,28.1,207.57000000000002
Column 136(Kip),-49.57,17,HSS4X4X4,28.1,207.57000000000002
Column 138(Kip),50.64,17,HSS5X5X4,56.9,265.53999999999996
Column 139(Kip),20.51,17,HSS4X4X4,28.1,207.57000000000002
Column 140(Kip),76.19,17,HSS6X6X4,90,323.34
Column 141(Kip),176.1,17,HSS9X9X4,189,496.91
Column 142(Kip),95.38,17,HSS7X7X4,124,381.14000000000004
Column 143(Kip),111.91,17,HSS7X7X4,124,381.14000000000004
Column 144(Kip),174.57,17,HSS9X9X4,189,496.91
Column 145(Kip),118.45,17,HSS7X7X4,124,381.14000000000004
Column 146(Kip),102.08,17,HSS7X7X4,124,381.14000000000004
Column 147(Kip),216.5,17,HSS8X8X6,227,640.73
Column 148(Kip),140.11,17,HSS7X7X5,151,469.03
Column 149(Kip),135.58,17,HSS7X7X5,151,469.03
Column 151(Kip),141.19,17,HSS7X7X5,151,469.03
Column 152(Kip),102.98,17,HSS7X7X4,124,381.14000000000004
Column 153(Kip),85.33,17,HSS6X6X4,90,323.34
Column 154(Kip),119.81,17,HSS7X7X4,124,381.14000000000004
Column 156(Kip),172.27,17,HSS9X9X4,189,496.91
