Column Label,Maximum Axial Load,Length
Build2_CS1,86.01,16
Build2_CS2,74.94,16
Build2_CS3,56.32,16
Build2_CS4,26.86,16
Build2_CS5,106.46,16
Build2_CS6,57.31,16
Build2_CS7,44.16,16
Build2_CS8,67.12,16
Build2_CS9,14.15,16
Build2_CS10,11.22,16
Build2_CS11,53.79,16
Build2_CS12,53.05,16
Build2_CS13,71,16
Build2_CS14,34.07,16
Build2_CS15,8.24,16
Build2_CS16,25.37,16
Build2_CS17,30.24,16
Build2_CS18,29.28,16
Build2_CS19,68.17,19
Build2_CS20,64.7,19
Build2_CS21,35.44,19
Build2_CS22,55.46,19
Build2_CS23,52.66,19
Build2_CS24,46.27,19
Build2_CS25,61.42,19
Build1_CS1,42.73,19
Build1_CS2,50.43,19
Build1_CS4,57.83,19
Build1_CS5,70.5,19
Build1_CS6,69.72,19
Build1_CS7,19.13,19
Build1_CS8,50.37,19
Build1_CS9,33.85,19
Build1_CS10,44.39,19
Build1_CS11,56.71,19
Build1_CS12,61.13,19
Build1_CS14,76.83,19
Build1_CS15,75.59,19
Build1_CS16,78.04,19
Build1_CS17,61.95,19
Build1_CS18,61.01,19
Build1_CS19,76.13,19
Build4_CS1,76.18,19
Build4_CS2,45.91,19
Build4_CS3,53.4,19
Build4_CS4,80,19
Build4_CS5,131.52,19
Build4_CS6,131.67,19
Build4_CS8,83.02,19
Build4_CS9,96.02,19
Build4_CS10,138.13,19
Build4_CS11,142.01,19
Build4_CS12,145.21,19
Build4_CS13,152.28,19
Build4_CS14,89.79,19
Build4_CS15,26.2,16
Build4_CS16,76.33,16
Build4_CS17,77.67,16
Build4_CS18,106.77,16
Build4_CS19,27.44,16
Build4_CS19_1,74.76,16
Build4_CS20,92.49,16
Build4_CS21,77.14,16
Build4_CS22,88,16
Build4_CS23,80.58,16
Build4_CS24,48.2,16
Build4_CS25,117.23,16
Build4_CS26,3.19,16
Build4_CS27,24.72,16
Build4_CS28,74.65,16
Build4_CS29,69.06,16
Build4_CS31,79.22,16
Build3_CS1,94.05,19
Build3_CS2,88.38,19
Build3_CS3,101.48,19
Build3_CS4,135.97,19
Build3_CS5,90.1,19
Build3_CS6,68.57,19
Build3_CS7,123.11,19
Build3_CS8,145.88,19
Build3_CS9,65.4,19
Build3_CS10,76.62,19
Build3_CS11,81.1,19
Build3_CS12,99.91,19
Build3_CS13,84.98,19
Build3_CS14,44.74,19
Build3_CS15,88.18,19
Build3_CS16,74.57,19
Build3_CS17,10.7,19
Build3_CS18,71.37,19
Build3_CS19,129.61,19
Build3_CS20,120.12,19
Build3_CS21,89.01,19
Build3_CS22,77.4,19
Build3_CS23,146.9,19
Build3_CS24,137.63,19
Build3_CS25,93.62,19
Build3_CS26,75.02,19
Build3_CS27,159.29,19
Build3_CS28,48.23,19
Build3_CS29,131.31,19
Build3_CS30,71.58,19
Build3_CS31,145.73,19
Build3_CS32,80.2,19
Build3_CS33,133.42,19
Build3_CS20_1,127.52,19
Build3_CS21_1,75.66,19
Build3_CS25_1,67.26,19
